"","types","mean_discount","min_discount","max_discount","sd_discount"
"1","app",51.8691580112379,0,962.6,102.290871474212
"2","bundle",26.8823657587549,0.58,707.84,35.869601982274
"3","sub",11.4214601769912,0.49,59.99,9.08141017393752
"4",NA,23.99,23.99,23.99,NA
