"","types","missing_or_not","count"
"1","app","Missing",26275
"2","app","Not Missing",11746
"3","bundle","Missing",2
"4","bundle","Not Missing",2570
"5","sub","Missing",12
"6","sub","Not Missing",226
"7",NA,"Missing",1
"8",NA,"Not Missing",1
